,0
1981-01-05,-0.12646595060298474
1981-01-08,-0.11836110222971256
1981-01-12,-0.10761501921474147
1981-01-15,-0.09954318485924818
1981-01-19,-0.0887917141853363
1981-01-22,-0.08076141522929955
1981-01-26,-0.0707576738113662
1981-01-29,-0.06888910475832927
1981-02-02,-0.07637905041474367
1981-02-05,-0.08438338695106676
1981-02-09,-0.09505370335422249
1981-02-12,-0.10309250678518156
1981-02-16,-0.1139061097230176
1981-02-19,-0.12205124740248507
1981-02-23,-0.13292720682936457
1981-02-26,-0.14106208820238064
1981-03-02,-0.15185026025990983
1981-03-05,0.8332197857982339
1981-03-09,4.799064845920375
1981-03-12,6.784262290730361
1981-03-16,4.789590735545739
1981-03-19,1.79474110558566
1981-03-23,-0.20941878873499134
1981-03-26,-0.2176791272888363
1981-03-30,-0.22434873648108714
1981-04-02,-0.22529778516883953
1981-04-06,-0.2253050936789442
1981-04-09,-0.2253058087267689
1981-04-13,-0.22542623236841958
1981-04-16,-0.2255964819194561
1981-04-20,-0.22572861474580969
1981-04-23,-0.2257778777948343
1981-04-27,-0.22584712143335975
1981-04-30,-0.2259482760636325
1981-05-04,-0.2260811308968457
1981-05-07,-0.22623596256661246
1981-05-11,-0.22658217480461654
1981-05-14,-0.22676010002020017
1981-05-18,-0.2269887455038493
1981-05-21,-0.22713873660253095
1981-05-25,-0.2272367229967703
1981-05-28,-0.2273137934385443
1981-06-01,-0.22741270646001394
1981-06-04,-0.2274961224070777
1981-06-08,-0.22759729939206055
1981-06-11,-0.227655225382916
1981-06-15,-0.22772397627627766
1981-06-18,-0.22776705322360824
1981-06-22,-0.22779758894214808
1981-06-25,-0.22780495162244668
1981-06-29,-0.2278210735680512
1981-07-02,-0.22782396064711632
1981-07-06,-0.2278177749460413
1981-07-09,-0.22782037020083848
1981-07-13,-0.22781679276230737
1981-07-16,-0.2278027692851753
1981-07-20,-0.22778765731708994
1981-07-23,-0.22779295267001343
1981-07-27,-0.22780496434374628
1981-07-30,-0.22780457642133592
1981-08-03,-0.22780811905528564
1981-08-06,-0.22779693911661553
1981-08-10,-0.22777521493952718
1981-08-13,-0.22777536261003634
1981-08-17,-0.22778103928864138
1981-08-20,-0.22778628520511726
1981-08-24,-0.2277949416085069
1981-08-27,-0.22776274289697696
1981-08-31,-0.2276920474642333
1981-09-03,-0.2276836798543174
1981-09-07,-0.2277119306813747
1981-09-10,-0.22771138469186336
1981-09-14,-0.22770224499321687
1981-09-17,-0.22768511448666626
1981-09-21,-0.22757577800597287
1981-09-24,-0.227445042754254
1981-09-28,-0.227187656975565
1981-10-01,-0.22704450760496686
1981-10-05,-0.22706795787801734
1981-10-08,-0.2271499434860758
1981-10-12,-0.22718689534056719
1981-10-15,-0.2270695463059026
1981-10-19,-0.2267893083829156
1981-10-22,-0.22661268642288615
1981-10-26,-0.22650632955559066
1981-10-29,-0.2264911254948979
1981-11-02,-0.22643992443809166
1981-11-05,-0.2263421980098526
1981-11-09,-0.22620522073105528
1981-11-12,-0.22610094787527837
1981-11-16,-0.22595930688262597
1981-11-19,-0.2258523286842872
1981-11-23,-0.22571348188856905
1981-11-26,-0.22565467183746712
1981-11-30,-0.22314435313652983
1981-12-03,-0.21710388647869025
1981-12-07,-0.20600218390080957
1981-12-10,-0.19770336360294918
1981-12-14,-0.1866576304132738
1981-12-17,-0.17837031973562564
1981-12-21,-0.16733718829312333
1981-12-24,-0.1591224683403999
1981-12-28,-0.14819201691617845
1981-12-31,-0.1399601644026691
1982-01-04,-0.1289970697953251
1982-01-07,-0.12081285529147702
1982-01-11,-0.10991574810522303
1982-01-14,-0.1018433977193965
1982-01-18,-0.09116235357365612
1982-01-21,-0.08312945752441678
1982-01-25,-0.0725989341858673
1982-01-28,-0.06844476241093328
1982-02-01,-0.073443193451878
1982-02-04,-0.08146763767483906
1982-02-08,-0.09219421739063338
1982-02-11,-0.10026028395254531
1982-02-15,-0.11100342983332961
1982-02-18,-0.11906680453913256
1982-02-22,-0.1298417291133305
1982-02-25,-0.13794630310258277
1982-03-01,-0.1487916766714442
1982-03-04,-0.15694317136932104
1982-03-08,3.8073504223446974
1982-03-11,6.784654761609273
1982-03-15,5.787526460346131
1982-03-18,2.7938703659665105
1982-03-22,-0.20604727569765474
1982-03-25,-0.21437820782418537
1982-03-29,-0.22259916608701485
1982-04-01,-0.22459860879263976
1982-04-05,-0.22474668496079345
1982-04-08,-0.22496615879067225
1982-04-12,-0.22536327058735445
1982-04-15,-0.2256116265605735
1982-04-19,-0.22579464049525722
1982-04-22,-0.22590645883447147
1982-04-26,-0.22609081420784893
1982-04-29,-0.22620053927284964
1982-05-03,-0.22627175197013222
1982-05-06,-0.2263087415370216
1982-05-10,-0.2263179858040899
1982-05-13,-0.22635572258993647
1982-05-17,-0.22648501252257625
1982-05-20,-0.22657538687890633
1982-05-24,-0.22663749273032757
1982-05-27,-0.22668911222041618
1982-05-31,-0.22676997300522556
1982-06-03,-0.22682205794366622
1982-06-07,-0.2269172536882408
1982-06-10,-0.22700755116755014
1982-06-14,-0.22711723925787458
1982-06-17,-0.2271689050082451
1982-06-21,-0.22723639087102357
1982-06-24,-0.227277170535877
1982-06-28,-0.22729580818392026
1982-07-01,-0.22729068625187587
1982-07-05,-0.22728762250076984
1982-07-08,-0.22728882733566066
1982-07-12,-0.22728929184495691
1982-07-15,-0.2272919004729117
1982-07-19,-0.22728799934636934
1982-07-22,-0.2272855463175365
1982-07-26,-0.22728483062811683
1982-07-29,-0.22728206760598108
