Date,   QBO  missing value -999 https://psl.noaa.gov/data/timeseries/month/
1948-01-01,   -4.440
1948-02-01,   -5.780
1948-03-01,   -7.310
1948-04-01,   -6.700
1948-05-01,   -5.570
1948-06-01,   -4.730
1948-07-01,   -5.510
1948-08-01,   -7.220
1948-09-01,   -7.240
1948-10-01,   -6.070
1948-11-01,   -6.280
1948-12-01,   -8.180
1949-01-01,   -9.770
1949-02-01,  -11.800
1949-03-01,  -11.720
1949-04-01,  -10.690
1949-05-01,   -9.340
1949-06-01,   -9.430
1949-07-01,   -9.070
1949-08-01,   -9.080
1949-09-01,   -8.320
1949-10-01,   -7.010
1949-11-01,   -6.430
1949-12-01,   -7.240
1950-01-01,   -8.990
1950-02-01,  -11.370
1950-03-01,  -10.630
1950-04-01,   -8.190
1950-05-01,   -6.090
1950-06-01,   -6.610
1950-07-01,   -7.110
1950-08-01,   -6.510
1950-09-01,   -3.820
1950-10-01,   -2.390
1950-11-01,   -2.180
1950-12-01,   -3.310
1951-01-01,   -6.010
1951-02-01,   -5.320
1951-03-01,   -1.930
1951-04-01,    0.910
1951-05-01,    2.260
1951-06-01,   -0.300
1951-07-01,   -2.700
1951-08-01,   -5.310
1951-09-01,   -5.920
1951-10-01,   -4.590
1951-11-01,   -3.650
1951-12-01,   -3.980
1952-01-01,   -6.800
1952-02-01,   -7.710
1952-03-01,   -6.990
1952-04-01,   -5.680
1952-05-01,   -4.760
1952-06-01,   -6.000
1952-07-01,   -7.600
1952-08-01,   -8.150
1952-09-01,   -5.730
1952-10-01,   -2.960
1952-11-01,   -0.510
1952-12-01,   -1.650
1953-01-01,   -2.940
1953-02-01,   -2.680
1953-03-01,   -1.220
1953-04-01,    1.300
1953-05-01,    2.690
1953-06-01,    1.860
1953-07-01,    0.100
1953-08-01,   -1.210
1953-09-01,   -1.280
1953-10-01,   -0.390
1953-11-01,   -0.590
1953-12-01,   -2.180
1954-01-01,   -5.050
1954-02-01,   -6.880
1954-03-01,   -7.980
1954-04-01,   -9.010
1954-05-01,  -11.380
1954-06-01,  -12.720
1954-07-01,  -13.400
1954-08-01,  -14.530
1954-09-01,  -12.830
1954-10-01,  -10.350
1954-11-01,   -9.990
1954-12-01,   -9.560
1955-01-01,   -5.820
1955-02-01,   -1.710
1955-03-01,    1.370
1955-04-01,    4.400
1955-05-01,    6.580
1955-06-01,    6.730
1955-07-01,    5.990
1955-08-01,    7.200
1955-09-01,    8.160
1955-10-01,    9.020
1955-11-01,    7.630
1955-12-01,    3.820
1956-01-01,   -1.010
1956-02-01,   -3.230
1956-03-01,   -2.010
1956-04-01,   -2.010
1956-05-01,   -6.160
1956-06-01,  -11.020
1956-07-01,  -13.040
1956-08-01,  -15.170
1956-09-01,  -14.670
1956-10-01,  -14.900
1956-11-01,  -16.960
1956-12-01,  -15.020
1957-01-01,  -13.050
1957-02-01,  -11.890
1957-03-01,   -6.680
1957-04-01,   -2.010
1957-05-01,    1.800
1957-06-01,    3.210
1957-07-01,    4.050
1957-08-01,    6.300
1957-09-01,    8.360
1957-10-01,   10.460
1957-11-01,   10.110
1957-12-01,    7.350
1958-01-01,    5.250
1958-02-01,    4.100
1958-03-01,    4.270
1958-04-01,    1.980
1958-05-01,   -4.710
1958-06-01,  -10.600
1958-07-01,  -13.910
1958-08-01,  -15.590
1958-09-01,  -15.930
1958-10-01,  -16.390
1958-11-01,  -16.910
1958-12-01,  -18.960
1959-01-01,  -20.060
1959-02-01,  -17.240
1959-03-01,  -14.020
1959-04-01,   -9.270
1959-05-01,   -5.910
1959-06-01,   -2.300
1959-07-01,    3.150
1959-08-01,    7.070
1959-09-01,   10.090
1959-10-01,   11.690
1959-11-01,   10.710
1959-12-01,    8.300
1960-01-01,    4.790
1960-02-01,    3.390
1960-03-01,   -0.040
1960-04-01,   -1.080
1960-05-01,   -3.910
1960-06-01,   -8.980
1960-07-01,  -13.860
1960-08-01,  -16.040
1960-09-01,  -16.010
1960-10-01,  -15.620
1960-11-01,  -14.420
1960-12-01,  -11.360
1961-01-01,   -5.470
1961-02-01,   -0.620
1961-03-01,    0.540
1961-04-01,    2.820
1961-05-01,    6.880
1961-06-01,    7.960
1961-07-01,    6.690
1961-08-01,    5.600
1961-09-01,    6.020
1961-10-01,    7.590
1961-11-01,    8.740
1961-12-01,    6.250
1962-01-01,    2.840
1962-02-01,    3.680
1962-03-01,    5.260
1962-04-01,    2.040
1962-05-01,   -3.640
1962-06-01,  -11.420
1962-07-01,  -15.490
1962-08-01,  -15.000
1962-09-01,  -15.190
1962-10-01,  -15.330
1962-11-01,  -15.400
1962-12-01,  -15.160
1963-01-01,  -17.350
1963-02-01,  -16.680
1963-03-01,  -19.930
1963-04-01,  -21.520
1963-05-01,  -24.180
1963-06-01,  -20.080
1963-07-01,   -9.270
1963-08-01,   -1.350
1963-09-01,    3.520
1963-10-01,    7.540
1963-11-01,    8.870
1963-12-01,    5.480
1964-01-01,    3.940
1964-02-01,    5.260
1964-03-01,    5.460
1964-04-01,    5.940
1964-05-01,    6.320
1964-06-01,    2.230
1964-07-01,   -0.560
1964-08-01,   -0.570
1964-09-01,   -0.670
1964-10-01,    0.420
1964-11-01,    0.710
1964-12-01,    0.040
1965-01-01,   -1.030
1965-02-01,   -2.260
1965-03-01,   -1.980
1965-04-01,   -3.440
1965-05-01,   -7.100
1965-06-01,  -12.010
1965-07-01,  -16.000
1965-08-01,  -18.190
1965-09-01,  -20.030
1965-10-01,  -20.130
1965-11-01,  -19.740
1965-12-01,  -21.270
1966-01-01,  -21.900
1966-02-01,  -17.140
1966-03-01,  -11.070
1966-04-01,   -2.330
1966-05-01,    2.160
1966-06-01,    5.420
1966-07-01,    7.470
1966-08-01,    7.630
1966-09-01,    9.230
1966-10-01,   11.000
1966-11-01,   11.740
1966-12-01,   13.260
1967-01-01,   11.030
1967-02-01,   10.490
1967-03-01,   10.940
1967-04-01,   10.130
1967-05-01,    5.790
1967-06-01,   -0.580
1967-07-01,   -5.650
1967-08-01,   -6.760
1967-09-01,   -6.060
1967-10-01,   -4.820
1967-11-01,   -6.050
1967-12-01,   -7.270
1968-01-01,   -8.380
1968-02-01,  -10.210
1968-03-01,   -9.110
1968-04-01,  -12.250
1968-05-01,  -14.390
1968-06-01,  -19.270
1968-07-01,  -21.000
1968-08-01,  -21.820
1968-09-01,  -17.450
1968-10-01,  -14.580
1968-11-01,  -13.110
1968-12-01,  -11.360
1969-01-01,   -8.580
1969-02-01,   -4.430
1969-03-01,   -1.500
1969-04-01,    3.980
1969-05-01,    8.180
1969-06-01,    9.350
1969-07-01,    9.080
1969-08-01,    9.780
1969-09-01,    9.740
1969-10-01,    9.750
1969-11-01,    7.340
1969-12-01,    5.000
1970-01-01,    0.300
1970-02-01,   -1.410
1970-03-01,   -4.630
1970-04-01,   -7.250
1970-05-01,  -12.210
1970-06-01,  -16.250
1970-07-01,  -18.620
1970-08-01,  -21.380
1970-09-01,  -21.670
1970-10-01,  -22.120
1970-11-01,  -22.480
1970-12-01,  -17.390
1971-01-01,  -10.670
1971-02-01,   -3.670
1971-03-01,    0.910
1971-04-01,    3.750
1971-05-01,    6.770
1971-06-01,    8.280
1971-07-01,    8.880
1971-08-01,    8.340
1971-09-01,    8.950
1971-10-01,    8.480
1971-11-01,    8.470
1971-12-01,    9.100
1972-01-01,    8.200
1972-02-01,    7.950
1972-03-01,    7.350
1972-04-01,    6.220
1972-05-01,   -2.590
1972-06-01,  -10.700
1972-07-01,  -15.450
1972-08-01,  -19.280
1972-09-01,  -20.400
1972-10-01,  -21.170
1972-11-01,  -20.490
1972-12-01,  -16.780
1973-01-01,   -4.400
1973-02-01,    0.080
1973-03-01,    3.400
1973-04-01,    6.280
1973-05-01,    8.120
1973-06-01,    8.630
1973-07-01,    6.940
1973-08-01,    5.860
1973-09-01,    5.510
1973-10-01,    5.200
1973-11-01,    4.920
1973-12-01,    2.310
1974-01-01,   -0.910
1974-02-01,   -1.310
1974-03-01,   -1.080
1974-04-01,   -1.920
1974-05-01,   -7.580
1974-06-01,  -13.860
1974-07-01,  -19.580
1974-08-01,  -23.140
1974-09-01,  -23.520
1974-10-01,  -23.120
1974-11-01,  -22.480
1974-12-01,  -22.570
1975-01-01,  -16.700
1975-02-01,  -15.390
1975-03-01,  -13.040
1975-04-01,   -5.120
1975-05-01,    1.180
1975-06-01,    4.470
1975-07-01,    7.410
1975-08-01,    9.060
1975-09-01,   10.250
1975-10-01,   10.650
1975-11-01,   11.270
1975-12-01,   10.950
1976-01-01,    9.220
1976-02-01,    8.920
1976-03-01,    9.700
1976-04-01,   11.530
1976-05-01,   10.040
1976-06-01,    2.780
1976-07-01,   -1.900
1976-08-01,   -4.890
1976-09-01,   -6.190
1976-10-01,   -8.230
1976-11-01,   -8.890
1976-12-01,  -11.850
1977-01-01,  -14.440
1977-02-01,  -14.900
1977-03-01,  -17.610
1977-04-01,  -14.930
1977-05-01,  -17.140
1977-06-01,  -21.330
