,0,1,2,3,4
2010-12-09,0.15486449,0.23694675,0.16442001,0.16861232,0.2751564
2010-12-13,0.1499691,0.20209068,0.18284169,0.1768785,0.28822005
2010-12-16,0.15086196,0.1972367,0.16805129,0.19456752,0.28928253
2010-12-20,0.14326014,0.20999996,0.15540096,0.21151145,0.27982745
2010-12-23,0.13954125,0.20830767,0.14886388,0.2225253,0.28076193
2010-12-27,0.1483952,0.21226656,0.15601015,0.20323358,0.28009453
2010-12-30,0.14596432,0.19325477,0.16332196,0.20753324,0.28992572
2011-01-03,0.15008087,0.18417102,0.15843667,0.21561326,0.2916982
2011-01-06,0.14881474,0.20320636,0.151056,0.21588492,0.28103796
2011-01-10,0.1526194,0.20543298,0.14637929,0.22419505,0.27137324
2011-01-13,0.15579022,0.22872773,0.15209845,0.18512079,0.2782628
2011-01-17,0.15828356,0.2244628,0.1775144,0.17304605,0.26669317
2011-01-20,0.16541861,0.2092224,0.17568122,0.17766248,0.27201533
2011-01-24,0.17004068,0.22857916,0.17924996,0.1826949,0.23943536
2011-01-27,0.15659943,0.21545106,0.1841545,0.17410022,0.2696948
2011-01-31,0.14450902,0.21415985,0.17055403,0.20124069,0.2695364
2011-02-03,0.15236348,0.21603079,0.15152645,0.1779387,0.30214056
2011-02-07,0.16476126,0.23413984,0.15232325,0.14589033,0.30288538
2011-02-10,0.17965293,0.23133986,0.14838348,0.17005137,0.27057233
2011-02-14,0.17746368,0.2183375,0.17034443,0.16131398,0.2725404
2011-02-17,0.17867295,0.19496064,0.14972112,0.16535191,0.31129333
2011-02-21,0.17216952,0.20446146,0.15341006,0.15486383,0.31509513
2011-02-24,0.18166845,0.19472946,0.17575413,0.14136775,0.3064802
2011-02-28,0.1506498,0.19921629,0.2076189,0.13504018,0.3074748
2011-03-03,0.14869146,0.21797161,0.17225923,0.1533776,0.30770013
2011-09-12,0.18485756,0.18942645,0.18734206,0.17131594,0.26705799
2011-09-15,0.18250673,0.1896151,0.20625938,0.1541037,0.26751512
2011-09-19,0.16243967,0.20742413,0.20706579,0.16482848,0.25824195
2011-09-22,0.1641259,0.22854987,0.16770175,0.15646064,0.2831618
2011-09-26,0.15710513,0.24207935,0.16730668,0.14752918,0.2859797
2011-09-29,0.15376964,0.22139654,0.18530789,0.17143147,0.26809445
2011-10-03,0.15800712,0.23867212,0.15417603,0.20457916,0.2445656
2011-10-06,0.16352792,0.20394799,0.14168432,0.21401256,0.2768272
2011-10-10,0.16387866,0.1834106,0.16611396,0.18528244,0.30131435
2011-10-13,0.18662009,0.21540438,0.14112288,0.18681654,0.27003613
2011-10-17,0.17659184,0.19116727,0.113476664,0.2061566,0.31260765
2011-10-20,0.19962925,0.17752604,0.116331175,0.16862386,0.33788967
2011-10-24,0.1844514,0.19971238,0.13463093,0.16184495,0.3193603
2011-10-27,0.19105425,0.20154174,0.13655105,0.18581194,0.285041
2011-10-31,0.21170673,0.170341,0.14951116,0.17862749,0.28981358
2011-11-03,0.22096483,0.16298372,0.16671263,0.15795322,0.29138556
2011-11-07,0.2034443,0.16950661,0.15627046,0.17304966,0.29772893
2011-11-10,0.21685222,0.17776895,0.15674835,0.18049799,0.26813248
2011-11-14,0.1908143,0.21088372,0.15983446,0.14394732,0.2945202
2011-11-17,0.1986932,0.24112286,0.14239718,0.13587503,0.28191173
2011-11-21,0.19447975,0.22915842,0.14666489,0.14343952,0.28625745
2011-11-24,0.19895925,0.20740022,0.15553908,0.16636354,0.2717379
2011-11-28,0.21898906,0.18524468,0.15788698,0.1395497,0.2983296
2011-12-01,0.20712687,0.17812693,0.17888555,0.14726256,0.2885981
2011-12-05,0.18556176,0.1813329,0.19225448,0.14511918,0.29573163
2011-12-08,0.18657348,0.19553529,0.19448955,0.14108562,0.2823161
2011-12-12,0.18064682,0.18695046,0.2272381,0.1403969,0.2647677
2011-12-15,0.16680849,0.20139734,0.22134116,0.14502338,0.26542965
2011-12-19,0.15945931,0.20365362,0.22122344,0.1462425,0.2694211
2011-12-22,0.15488425,0.20653939,0.20657559,0.15990096,0.2720998
2011-12-26,0.16026387,0.22330672,0.17765242,0.15329593,0.2854811
2011-12-29,0.15531097,0.21914464,0.20123261,0.13150676,0.29280502
2012-01-02,0.15483654,0.21091807,0.2295652,0.1339995,0.27068073
2012-01-05,0.18140818,0.20273958,0.22081311,0.13994387,0.25509527
2012-01-09,0.20166129,0.21657522,0.1944328,0.1317395,0.2555912
2012-01-12,0.2151996,0.1960139,0.22708476,0.10090085,0.2608009
2012-01-16,0.20980915,0.20970677,0.24120039,0.10106938,0.23821436
2012-01-19,0.2009691,0.22173618,0.21407376,0.109646976,0.25357398
2012-01-23,0.18739958,0.26526132,0.19252264,0.093075626,0.26174086
2012-01-26,0.18632972,0.24387284,0.21567143,0.086206324,0.26791972
2012-01-30,0.20180367,0.2269085,0.22649553,0.0947848,0.2500075
2012-02-02,0.18303621,0.25093675,0.2011253,0.10206229,0.26283947
2012-02-06,0.19292712,0.2316276,0.1671064,0.10540719,0.3029317
2012-02-09,0.20645595,0.198978,0.18388844,0.110252246,0.30042535
2012-02-13,0.20487407,0.20516072,0.17485516,0.11937531,0.29573476
2012-02-16,0.17346378,0.19985932,0.16391169,0.122117095,0.34064814
2012-02-20,0.17158365,0.2295854,0.17559598,0.11337053,0.30986443
2012-02-23,0.192769,0.23938967,0.15731226,0.10088718,0.30964187
2012-02-27,0.20809424,0.25169623,0.1414436,0.09385697,0.30490896
2012-03-01,0.22175479,0.23315783,0.14894177,0.0962426,0.29990298
2012-09-10,0.21388151,0.16869494,0.22957155,0.14739925,0.24045275
2012-09-13,0.21607271,0.17058757,0.20651007,0.15284486,0.2539848
2012-09-17,0.19446407,0.17139013,0.21252517,0.15510873,0.26651186
2012-09-20,0.17730322,0.1563786,0.23503603,0.17559783,0.2556843
2012-09-24,0.16865776,0.15875298,0.19286445,0.2048672,0.2748576
2012-09-27,0.16276808,0.17892803,0.166553,0.19690818,0.2948427
2012-10-01,0.15793818,0.16456923,0.21780282,0.19023915,0.2694506
2012-10-04,0.16940565,0.22809738,0.1980243,0.18000513,0.22446749
2012-10-08,0.1809719,0.23012991,0.19471024,0.13761516,0.25657278
2012-10-11,0.18188153,0.23700832,0.19821556,0.14812616,0.2347685
2012-10-15,0.1719862,0.22432883,0.1718702,0.1706356,0.26117918
2012-10-18,0.18481077,0.20166609,0.19505112,0.161624,0.25684804
2012-10-22,0.19401184,0.22626013,0.20091622,0.15043156,0.22838026
2012-10-25,0.19757569,0.23697066,0.19715603,0.13872233,0.22957526
2012-10-29,0.17419365,0.22107102,0.20396626,0.14125757,0.25951147
2012-11-01,0.19093649,0.2345849,0.20391846,0.11450961,0.25605056
2012-11-05,0.1834006,0.21450384,0.21693206,0.12545267,0.25971088
2012-11-08,0.19185011,0.21565081,0.23028323,0.13067007,0.23154578
2012-11-12,0.20292202,0.2211068,0.21449415,0.14228415,0.21919288
2012-11-15,0.18905723,0.19687063,0.23894942,0.1619734,0.21314928
2012-11-19,0.19089359,0.17859335,0.2208668,0.15719457,0.2524517
2012-11-22,0.19314402,0.18228637,0.18997821,0.16678537,0.26780605
2012-11-26,0.2234765,0.19420028,0.19478215,0.16332047,0.22422059
2012-11-29,0.20199792,0.21560125,0.18996158,0.16463616,0.22780311
2012-12-03,0.18551418,0.22010927,0.18186578,0.15127829,0.26123247
