,y_true,y_predicted
2010-11-18,4.0,4.0
2010-11-22,1.0,4.0
2010-11-25,1.0,4.0
2010-11-29,4.0,4.0
2010-12-02,0.0,4.0
2010-12-06,4.0,1.0
2010-12-09,1.0,1.0
2010-12-13,1.0,4.0
2010-12-16,1.0,1.0
2010-12-20,1.0,4.0
2010-12-23,1.0,4.0
2010-12-27,1.0,4.0
2010-12-30,3.0,1.0
2011-01-03,3.0,4.0
2011-01-06,0.0,1.0
2011-01-10,0.0,1.0
2011-01-13,0.0,1.0
2011-01-17,0.0,1.0
2011-01-20,1.0,1.0
2011-01-24,2.0,1.0
2011-01-27,2.0,3.0
2011-08-08,0.0,0.0
2011-08-11,0.0,0.0
2011-08-15,4.0,0.0
2011-08-18,2.0,2.0
2011-08-22,4.0,4.0
2011-08-25,1.0,2.0
2011-08-29,2.0,2.0
2011-09-01,2.0,2.0
2011-09-05,1.0,0.0
2011-09-08,1.0,0.0
2011-09-12,1.0,0.0
2011-09-15,1.0,0.0
2011-09-19,1.0,0.0
2011-09-22,4.0,0.0
2011-09-26,0.0,4.0
2011-09-29,0.0,4.0
2011-10-03,1.0,4.0
2011-10-06,1.0,0.0
2011-10-10,1.0,4.0
2011-10-13,1.0,4.0
2011-10-17,1.0,4.0
2011-10-20,1.0,4.0
2011-10-24,1.0,4.0
2011-10-27,1.0,4.0
2011-10-31,0.0,4.0
2011-11-03,0.0,4.0
2011-11-07,0.0,4.0
2011-11-10,1.0,4.0
2011-11-14,1.0,4.0
2011-11-17,3.0,4.0
2011-11-21,4.0,4.0
2011-11-24,0.0,4.0
2011-11-28,0.0,4.0
2011-12-01,1.0,4.0
2011-12-05,0.0,4.0
2011-12-08,0.0,4.0
2011-12-12,0.0,4.0
2011-12-15,0.0,4.0
2011-12-19,0.0,0.0
2011-12-22,1.0,0.0
2011-12-26,1.0,4.0
2011-12-29,1.0,4.0
2012-01-02,1.0,0.0
2012-01-05,1.0,0.0
2012-01-09,1.0,4.0
2012-01-12,1.0,4.0
2012-01-16,0.0,1.0
2012-01-19,0.0,4.0
2012-01-23,1.0,4.0
2012-01-26,1.0,4.0
2012-08-06,4.0,4.0
2012-08-09,4.0,3.0
2012-08-13,3.0,0.0
2012-08-16,4.0,4.0
2012-08-20,4.0,4.0
2012-08-23,3.0,4.0
2012-08-27,4.0,4.0
2012-08-30,4.0,4.0
2012-09-03,4.0,4.0
2012-09-06,2.0,4.0
2012-09-10,3.0,0.0
2012-09-13,3.0,4.0
2012-09-17,1.0,0.0
2012-09-20,3.0,0.0
2012-09-24,3.0,0.0
2012-09-27,3.0,0.0
2012-10-01,3.0,0.0
2012-10-04,3.0,0.0
2012-10-08,4.0,2.0
2012-10-11,1.0,2.0
2012-10-15,1.0,2.0
2012-10-18,1.0,4.0
2012-10-22,2.0,4.0
2012-10-25,2.0,0.0
2012-10-29,2.0,2.0
2012-11-01,2.0,0.0
2012-11-05,2.0,4.0
2012-11-08,1.0,0.0
2012-11-12,1.0,2.0
2012-11-15,1.0,2.0
2012-11-19,1.0,2.0
2012-11-22,2.0,0.0
2012-11-26,2.0,0.0
2012-11-29,2.0,0.0
2012-12-03,4.0,0.0
2012-12-06,4.0,0.0
2012-12-10,1.0,0.0
2012-12-13,1.0,4.0
2012-12-17,1.0,4.0
2012-12-20,2.0,0.0
2012-12-24,1.0,3.0
2012-12-27,1.0,4.0
2012-12-31,2.0,2.0
2013-01-03,2.0,2.0
2013-01-07,2.0,2.0
2013-01-10,4.0,2.0
2013-01-14,4.0,4.0
2013-01-17,2.0,4.0
2013-01-21,2.0,1.0
2013-01-24,2.0,2.0
2013-01-28,2.0,0.0
2013-08-08,1.0,1.0
2013-08-12,1.0,1.0
2013-08-15,1.0,0.0
2013-08-19,2.0,1.0
2013-08-22,2.0,1.0
2013-08-26,2.0,1.0
2013-08-29,2.0,4.0
2013-09-02,1.0,4.0
2013-09-05,1.0,4.0
2013-09-09,1.0,2.0
2013-09-12,1.0,2.0
2013-09-16,3.0,2.0
2013-09-19,3.0,4.0
2013-09-23,4.0,1.0
2013-09-26,2.0,4.0
2013-09-30,3.0,4.0
2013-10-03,3.0,2.0
2013-10-07,3.0,4.0
2013-10-10,3.0,2.0
2013-10-14,4.0,4.0
2013-10-17,4.0,4.0
2013-10-21,1.0,4.0
2013-10-24,1.0,4.0
2013-10-28,1.0,4.0
2013-10-31,4.0,4.0
2013-11-04,2.0,4.0
2013-11-07,2.0,4.0
2013-11-11,1.0,1.0
2013-11-14,1.0,1.0
2013-11-18,4.0,4.0
2013-11-21,4.0,1.0
2013-11-25,2.0,2.0
2013-11-28,2.0,4.0
2013-12-02,3.0,2.0
2013-12-05,3.0,2.0
2013-12-09,3.0,4.0
2013-12-12,3.0,4.0
2013-12-16,4.0,4.0
2013-12-19,0.0,4.0
2013-12-23,4.0,4.0
2013-12-26,2.0,2.0
2013-12-30,2.0,2.0
2014-01-02,3.0,2.0
2014-01-06,3.0,4.0
2014-01-09,0.0,4.0
2014-01-13,0.0,4.0
2014-01-16,4.0,4.0
2014-01-20,4.0,1.0
2014-01-23,4.0,3.0
2014-01-27,4.0,4.0
2014-08-07,4.0,4.0
2014-08-11,0.0,4.0
2014-08-14,0.0,4.0
2014-08-18,0.0,4.0
2014-08-21,0.0,2.0
2014-08-25,0.0,4.0
2014-08-28,4.0,2.0
2014-09-01,4.0,3.0
2014-09-04,4.0,4.0
2014-09-08,2.0,4.0
2014-09-11,2.0,4.0
2014-09-15,4.0,4.0
2014-09-18,2.0,4.0
2014-09-22,2.0,2.0
2014-09-25,4.0,2.0
2014-09-29,3.0,2.0
2014-10-02,1.0,2.0
2014-10-06,0.0,4.0
2014-10-09,0.0,4.0
2014-10-13,0.0,2.0
2014-10-16,0.0,2.0
2014-10-20,0.0,0.0
2014-10-23,0.0,4.0
2014-10-27,1.0,2.0
2014-10-30,1.0,0.0
2014-11-03,4.0,2.0
2014-11-06,3.0,0.0
2014-11-10,3.0,0.0
2014-11-13,3.0,0.0
2014-11-17,0.0,4.0
2014-11-20,0.0,0.0
2014-11-24,0.0,4.0
2014-11-27,0.0,4.0
2014-12-01,3.0,4.0
2014-12-04,3.0,2.0
2014-12-08,3.0,2.0
2014-12-11,0.0,2.0
2014-12-15,4.0,2.0
2014-12-18,2.0,2.0
2014-12-22,2.0,2.0
2014-12-25,4.0,2.0
2014-12-29,1.0,2.0
2015-01-01,1.0,2.0
2015-01-05,1.0,4.0
2015-01-08,1.0,4.0
2015-01-12,4.0,4.0
2015-01-15,0.0,4.0
2015-01-19,0.0,4.0
2015-01-22,0.0,4.0
2015-01-26,0.0,4.0
2015-08-06,4.0,2.0
2015-08-10,4.0,4.0
2015-08-13,0.0,0.0
2015-08-17,0.0,0.0
2015-08-20,0.0,4.0
2015-08-24,0.0,2.0
2015-08-27,0.0,0.0
2015-08-31,4.0,0.0
2015-09-03,1.0,0.0
2015-09-07,1.0,0.0
2015-09-10,1.0,0.0
2015-09-14,1.0,0.0
2015-09-17,1.0,0.0
2015-09-21,1.0,4.0
2015-09-24,1.0,4.0
2015-09-28,0.0,4.0
2015-10-01,0.0,4.0
2015-10-05,0.0,4.0
2015-10-08,0.0,2.0
2015-10-12,0.0,2.0
2015-10-15,1.0,2.0
2015-10-19,1.0,0.0
2015-10-22,1.0,0.0
2015-10-26,1.0,0.0
2015-10-29,1.0,0.0
2015-11-02,0.0,0.0
2015-11-05,0.0,0.0
2015-11-09,0.0,0.0
2015-11-12,2.0,0.0
2015-11-16,2.0,0.0
2015-11-19,2.0,0.0
2015-11-23,2.0,0.0
2015-11-26,0.0,0.0
2015-11-30,0.0,0.0
2015-12-03,0.0,0.0
2015-12-07,0.0,0.0
2015-12-10,0.0,0.0
2015-12-14,2.0,0.0
2015-12-17,2.0,2.0
2015-12-21,0.0,2.0
2015-12-24,0.0,2.0
2015-12-28,0.0,2.0
2015-12-31,0.0,4.0
2016-01-04,0.0,2.0
2016-01-07,0.0,2.0
2016-01-11,0.0,2.0
2016-01-14,0.0,2.0
2016-01-18,2.0,2.0
2016-01-21,2.0,0.0
2016-01-25,4.0,0.0
2016-01-28,1.0,0.0
2016-08-08,4.0,0.0
2016-08-11,0.0,4.0
2016-08-15,0.0,4.0
2016-08-18,0.0,2.0
2016-08-22,3.0,0.0
2016-08-25,3.0,0.0
2016-08-29,4.0,4.0
2016-09-01,0.0,4.0
2016-09-05,0.0,4.0
