,y_true,y_predicted
2010-12-09,2.0,4.0
2010-12-13,1.0,4.0
2010-12-16,1.0,4.0
2010-12-20,2.0,4.0
2010-12-23,4.0,4.0
2010-12-27,4.0,4.0
2010-12-30,4.0,4.0
2011-01-03,1.0,4.0
2011-01-06,1.0,4.0
2011-01-10,4.0,4.0
2011-01-13,0.0,4.0
2011-01-17,4.0,4.0
2011-01-20,1.0,1.0
2011-01-24,1.0,1.0
2011-01-27,1.0,4.0
2011-01-31,1.0,4.0
2011-02-03,1.0,4.0
2011-02-07,1.0,4.0
2011-02-10,3.0,1.0
2011-02-14,3.0,0.0
2011-02-17,0.0,1.0
2011-02-21,0.0,4.0
2011-02-24,0.0,4.0
2011-02-28,0.0,4.0
2011-03-03,1.0,4.0
2011-03-07,2.0,4.0
2011-03-10,2.0,4.0
2011-09-19,0.0,1.0
2011-09-22,0.0,2.0
2011-09-26,4.0,2.0
2011-09-29,2.0,2.0
2011-10-03,4.0,1.0
2011-10-06,1.0,4.0
2011-10-10,2.0,4.0
2011-10-13,2.0,4.0
2011-10-17,1.0,4.0
2011-10-20,1.0,4.0
2011-10-24,1.0,4.0
2011-10-27,1.0,4.0
2011-10-31,1.0,1.0
2011-11-03,4.0,4.0
2011-11-07,0.0,0.0
2011-11-10,0.0,1.0
2011-11-14,1.0,1.0
2011-11-17,1.0,1.0
2011-11-21,1.0,1.0
2011-11-24,1.0,0.0
2011-11-28,1.0,0.0
2011-12-01,1.0,0.0
2011-12-05,1.0,0.0
2011-12-08,1.0,1.0
2011-12-12,0.0,1.0
2011-12-15,0.0,1.0
2011-12-19,0.0,4.0
2011-12-22,1.0,4.0
2011-12-26,1.0,4.0
2011-12-29,3.0,4.0
2012-01-02,4.0,4.0
2012-01-05,0.0,4.0
2012-01-09,0.0,4.0
2012-01-12,1.0,4.0
2012-01-16,0.0,4.0
2012-01-19,0.0,4.0
2012-01-23,0.0,4.0
2012-01-26,0.0,4.0
2012-01-30,0.0,2.0
2012-02-02,1.0,2.0
2012-02-06,1.0,2.0
2012-02-09,1.0,4.0
2012-02-13,1.0,4.0
2012-02-16,1.0,4.0
2012-02-20,1.0,1.0
2012-02-23,1.0,4.0
2012-02-27,0.0,4.0
2012-03-01,0.0,4.0
2012-03-05,1.0,4.0
2012-03-08,1.0,4.0
2012-09-17,4.0,0.0
2012-09-20,4.0,0.0
2012-09-24,3.0,0.0
2012-09-27,4.0,0.0
2012-10-01,4.0,0.0
2012-10-04,3.0,4.0
2012-10-08,4.0,4.0
2012-10-11,4.0,2.0
2012-10-15,4.0,0.0
2012-10-18,2.0,0.0
2012-10-22,3.0,4.0
