,0,1,2,3,4
2010-12-09,0.18412915,0.20757246,0.20186017,0.1911731,0.21526513
2010-12-13,0.18385538,0.20081691,0.19951127,0.20190004,0.21391644
2010-12-16,0.184733,0.2076569,0.20095146,0.1970776,0.20958103
2010-12-20,0.18226193,0.20999394,0.20939806,0.19249973,0.20584634
2010-12-23,0.18500553,0.20681459,0.20877206,0.18914518,0.21026264
2010-12-27,0.18227832,0.21034081,0.1982976,0.19509955,0.21398374
2010-12-30,0.18320978,0.21820316,0.19306502,0.19820066,0.2073214
2011-01-03,0.1830029,0.2160667,0.20309345,0.1893035,0.20853339
2011-01-06,0.18160614,0.21193269,0.20707336,0.19135098,0.20803685
2011-01-10,0.18781872,0.21265218,0.20259638,0.19548209,0.20145057
2011-01-13,0.1867186,0.21346518,0.1997673,0.1953573,0.2046916
2011-01-17,0.19381553,0.21229126,0.1958852,0.19603828,0.20196979
2011-01-20,0.1902799,0.21805112,0.19279665,0.19246426,0.20640808
2011-01-24,0.18877977,0.2091875,0.19738993,0.19492626,0.20971656
2011-01-27,0.18840127,0.21166906,0.19823271,0.19647463,0.20522238
2011-01-31,0.18728979,0.2148681,0.20612,0.19186541,0.19985668
2011-02-03,0.1905117,0.20724034,0.20397007,0.19834767,0.19993024
2011-02-07,0.18814191,0.21357904,0.19889152,0.19895643,0.20043111
2011-02-10,0.18804336,0.20904927,0.20056255,0.20031208,0.20203274
2011-02-14,0.18526623,0.20679043,0.19503433,0.19136749,0.22154151
2011-02-17,0.1887551,0.20484158,0.19084723,0.1945152,0.22104087
2011-02-21,0.19079094,0.2132322,0.1881868,0.19591501,0.21187504
2011-02-24,0.19104083,0.21299589,0.18735698,0.1979258,0.21068047
2011-09-05,0.20601344,0.19074787,0.20521106,0.19536877,0.20265882
2011-09-08,0.2041427,0.18677872,0.2049693,0.1987582,0.20535111
2011-09-12,0.20292814,0.19410211,0.20816028,0.19415992,0.20064954
2011-09-15,0.20147106,0.19176553,0.20925337,0.18959452,0.20791551
2011-09-19,0.19372164,0.1892436,0.21371017,0.19020315,0.2131214
2011-09-22,0.19482622,0.18441911,0.21347205,0.18868716,0.21859546
2011-09-26,0.19617376,0.18371573,0.2059372,0.19135442,0.2228189
2011-09-29,0.19652952,0.19067185,0.20322616,0.18748559,0.22208682
2011-10-03,0.1956971,0.19424294,0.19641532,0.18909128,0.22455338
2011-10-06,0.19931357,0.19889577,0.19170329,0.18855578,0.22153163
2011-10-10,0.20056267,0.19919586,0.19109976,0.18938456,0.21975718
2011-10-13,0.20175289,0.19670358,0.193291,0.19129707,0.21695545
2011-10-17,0.19728759,0.19500057,0.19398804,0.19184148,0.2218823
2011-10-20,0.19853613,0.19930474,0.19195099,0.18582737,0.22438072
2011-10-24,0.19974759,0.20071882,0.19106288,0.18687211,0.22159855
2011-10-27,0.20111322,0.19508635,0.19152173,0.19095656,0.2213221
2011-10-31,0.20356847,0.19218923,0.19371226,0.19622512,0.21430488
2011-11-03,0.1989307,0.19288176,0.19935769,0.194655,0.21417484
2011-11-07,0.20301467,0.19674976,0.19441481,0.18212438,0.22369641
2011-11-10,0.2024742,0.19705488,0.1953042,0.18669464,0.21847206
2011-11-14,0.20675236,0.19580789,0.19439131,0.18633978,0.21670865
2011-11-17,0.20628735,0.19665416,0.19625631,0.18695712,0.21384501
2011-11-21,0.20752363,0.19100097,0.20554763,0.18053852,0.21538922
2011-11-24,0.20222516,0.18961003,0.20866643,0.17742291,0.22207543
2011-11-28,0.20530576,0.18857142,0.20053846,0.1787133,0.2268711
2011-12-01,0.20614403,0.19076715,0.19756024,0.18137893,0.22414963
2011-12-05,0.20163172,0.19114792,0.2041948,0.18420234,0.21882321
2011-12-08,0.19961394,0.19368827,0.20627186,0.18642262,0.21400334
2011-12-12,0.19238776,0.19343378,0.20043473,0.18517205,0.22857162
2011-12-15,0.19244955,0.19040455,0.19175187,0.19420286,0.23119117
2011-12-19,0.19649492,0.19155748,0.19695894,0.19091123,0.22407745
2011-12-22,0.19201215,0.1903512,0.19938324,0.19581096,0.2224425
2011-12-26,0.19254015,0.19398335,0.1940166,0.20025289,0.21920702
