,y_true,y_predicted
1981-01-05,4.0,0.0
1981-01-08,3.0,0.0
1981-01-12,3.0,2.0
1981-01-15,0.0,2.0
1981-01-19,0.0,2.0
1981-01-22,4.0,2.0
1981-01-26,4.0,2.0
1981-01-29,2.0,2.0
1981-02-02,2.0,4.0
1981-02-05,2.0,4.0
1981-02-09,2.0,0.0
1981-02-12,2.0,0.0
1981-02-16,2.0,4.0
1981-02-19,2.0,4.0
1981-02-23,2.0,2.0
1981-02-26,1.0,1.0
1981-03-02,1.0,0.0
1981-03-05,1.0,0.0
1981-03-09,3.0,0.0
1981-03-12,3.0,0.0
1981-03-16,0.0,4.0
1981-03-19,0.0,1.0
1981-03-23,2.0,4.0
1981-03-26,3.0,4.0
1981-03-30,3.0,4.0
1981-04-02,3.0,4.0
1981-04-06,3.0,4.0
1981-04-09,3.0,1.0
1981-04-13,3.0,1.0
1981-04-16,4.0,4.0
1981-04-20,2.0,0.0
1981-04-23,0.0,0.0
1981-04-27,0.0,0.0
1981-04-30,0.0,1.0
1981-05-04,0.0,1.0
1981-05-07,4.0,2.0
1981-05-11,4.0,2.0
1981-05-14,0.0,0.0
1981-05-18,0.0,0.0
1981-05-21,0.0,2.0
1981-05-25,4.0,2.0
1981-05-28,4.0,2.0
1981-06-01,4.0,2.0
1981-06-04,4.0,2.0
1981-06-08,4.0,2.0
1981-06-11,4.0,2.0
1981-06-15,4.0,2.0
1981-06-18,3.0,1.0
1981-06-22,4.0,2.0
1981-06-25,1.0,2.0
1981-06-29,1.0,4.0
1981-07-02,4.0,4.0
1981-07-06,2.0,4.0
1981-07-09,2.0,4.0
1981-07-13,1.0,4.0
1981-07-16,4.0,4.0
1981-07-20,0.0,4.0
1981-07-23,0.0,4.0
1981-07-27,4.0,3.0
1981-07-30,4.0,2.0
1981-08-03,4.0,0.0
1981-08-06,4.0,0.0
1981-08-10,2.0,2.0
1981-08-13,2.0,0.0
1981-08-17,2.0,1.0
1981-08-20,4.0,1.0
1981-08-24,3.0,0.0
1981-08-27,2.0,2.0
1981-08-31,2.0,2.0
1981-09-03,4.0,4.0
1981-09-07,4.0,4.0
1981-09-10,4.0,4.0
1981-09-14,1.0,4.0
1981-09-17,1.0,4.0
1981-09-21,1.0,4.0
1981-09-24,1.0,4.0
1981-09-28,0.0,4.0
1981-10-01,0.0,0.0
1981-10-05,4.0,0.0
1981-10-08,0.0,0.0
1981-10-12,0.0,4.0
1981-10-15,0.0,4.0
1981-10-19,2.0,4.0
1981-10-22,2.0,4.0
1981-10-26,1.0,0.0
1981-10-29,1.0,2.0
1981-11-02,4.0,2.0
1981-11-05,4.0,2.0
1981-11-09,2.0,3.0
1981-11-12,2.0,3.0
1981-11-16,0.0,0.0
1981-11-19,0.0,0.0
1981-11-23,1.0,0.0
1981-11-26,3.0,0.0
1981-11-30,3.0,2.0
1981-12-03,4.0,2.0
1981-12-07,4.0,0.0
1981-12-10,2.0,0.0
1981-12-14,1.0,0.0
1981-12-17,1.0,0.0
1981-12-21,2.0,4.0
1981-12-24,2.0,2.0
1981-12-28,4.0,4.0
1981-12-31,1.0,4.0
1982-01-04,4.0,4.0
